REEF_ID,REEF_SUB_ID,REEF_NAME,REEF_AREA,LAT_DEG,LAT_MIN,LONG_DEG,LONG_MIN,GAZ_NAME,REEF_CLASS,FULLREEF_ID,G_SECTION,A_SECTOR,SHELF,LONG_DD,LAT_DD,AIMS_REEF_NAME,
15002,S,TWO ISLANDS REEF,180,15,1.5,145,26.5,TWO ISLES,PLANAR,15002S,CA,CL,I,145.441667,-15.025,Two Isles,1
15003,S,LOW WOODED REEF,130,15,6,145,23,LOW WOODED ISLAND,,15003S,CA,CL,,145.383333,-15.1,LOW WOODED REEF,
15004,A,MURRAY REEFS (NO  1),10,15,5.9,145,15.8,MURRAY A,,15004A,CA,CL,,145.263333,-15.098333,MURRAY REEFS (NO  1),
15004,B,MURRAY REEFS (NO  2),10,15,5.8,145,16,MURRAY B,,15004B,CA,CL,,145.266667,-15.096667,MURRAY REEFS (NO  2),
15004,C,MURRAY REEFS (NO  3),10,15,6.1,145,15.9,MURRAY C,,15004C,CA,CL,,145.265,-15.101667,MURRAY REEFS (NO  3),
15005,S,THREE ISLANDS REEF,160,15,7,145,25.5,THREE ISLES,PLANAR,15005S,CA,CL,I,145.425,-15.116667,Three Isles,1
15006,S,CONICAL ROCK REEF,160,15,8.2,145,19,CONICAL ROCK,,15006S,CA,CL,,145.316667,-15.136667,CONICAL ROCK REEF,
15007,S,15007S,360,15,9.5,145,15,15-007,,15007S,CA,CL,,145.25,-15.158333,15007S,
15008,S,BEOR REEF,40,15,9.5,145,16,BEOR,,15008S,CA,CL,,145.266667,-15.158333,BEOR REEF,
15009,S,FORRESTER REEF,1320,15,10,145,30,FORRESTER,PLANAR,15009S,CA,CL,M,145.5,-15.166667,Forrester Reef,
15010,S,15010S,150,15,10.5,145,14.5,15-010,,15010S,CA,CL,,145.241667,-15.175,15010S,
15011,S,PETTY PATCH,50,15,13,145,20.5,PETTY PATCH,,15011S,CA,CL,,145.341667,-15.216667,PETTY PATCH,
15012,S,BOULDER REEF,1260,15,25,145,25.5,BOULDER,CRESCENTIC,15012S,CA,CL,I,145.425,-15.416667,Boulder Reef,
15013,S,EGRET REEF,970,15,28.5,145,25,EGRET,CRESCENTIC,15013S,CA,CL,I,145.416667,-15.475,Egret Reef,
15014,A,BLACKBIRD PATCHES (NORTH),10,15,28.8,145,17.3,BLACKBIRD PATCHES (A),,15014A,CA,CL,,145.288333,-15.48,BLACKBIRD PATCHES (NORTH),
15014,B,BLACKBIRD PATCHES (SOUTH),20,15,29,145,17.2,BLACKBIRD PATCHES (B),,15014B,CA,CL,,145.286667,-15.483333,BLACKBIRD PATCHES (SOUTH),
